Step,POCA,PPO
10000,0.086111099,0.118518516
20000,0.110505275,0.023076929
30000,0.03335999,0.060714286
40000,0.071760006,0.077063166
50000,0.062190473,0.087799996
60000,0.104999997,0.100154549
70000,0.146626681,0.100999989
80000,0.047647621,0.049180951
90000,0.024999991,0.083631583
100000,0.092073686,0.061485711
110000,0.036227584,0.016008005
120000,0.022727268,0.123652644
130000,0.0625,0.078614302
140000,0.075000003,0.069481812
150000,0.178988233,0.110712513
160000,0.038559996,0.002941167
170000,0.04069566,0.043181822
180000,0.105260879,0.040625006
190000,0.019965516,0.100014813
200000,0.254490912,0.055858828
210000,0.033138461,0.032500006
220000,0.013761911,0.082341172
230000,0.103571422,0.084387504
240000,0.189946696,0.018421059
250000,0.021809084,0.165338472
260000,0.079174995,0.033361901
270000,0.02724614,0.042857159
280000,0.102380954,0.114285722
290000,0.036842111,0.075000003
300000,0.06428571,0.085714273
310000,0.05677272,0.068540536
320000,0.066300005,0.150150001
330000,0.023833344,0.040099997
340000,0.06043078,0.076777764
350000,0.139541179,0.128428563
360000,-0.013246165,0.071400009
370000,0.1175,0.025450001
380000,0.05833333,0.107950002
390000,0.132800013,0.019076195
400000,0.051913325,0.117647067
410000,-0.006875869,0.046861541
420000,0.089285716,0.025314277
430000,0.072500005,0.128571436
440000,0.127272725,0.077125929
450000,0.080555551,0.017504768
460000,0.120000012,0.104885705
470000,0.020344829,0.041859996
480000,0.052777778,-0.013592004
490000,0.145200014,0.123376481
500000,0.027473671,0.136472732
510000,0.053124998,0.063266665
520000,0.089583345,0.11885
530000,0.108333327,5.45E-05
540000,0.052941181,0.041666664
550000,0.133306682,0.123790488
560000,0.057723079,0.107533336
570000,0.047727264,0.035818182
580000,0.106250003,0.001466666
590000,0.025000015,0.046875
600000,0.169973359,0.056249999
610000,-0.010593939,0.122217394
620000,0.036363635,0.040700004
630000,0.056250006,0.006706657
640000,0.05714285,0.076852635
650000,0.132885724,0.039990477
660000,0.017800001,0.054166671
670000,0.055000003,0.062499996
680000,0.045833331,0.068750001
690000,0.135247067,0.113894746
700000,0.008730437,0.010941165
710000,0.055769242,0.058928575
720000,0.053571433,0.059999999
730000,0.085714288,0.070000008
740000,0.03409091,0.040000014
750000,-0.009090914,0.212013349
760000,0.059999991,0.146940008
770000,0.053124998,0.0625
780000,0.110000014,0.028015999
790000,0.081200004,0.069478273
800000,-0.032305889,0.020133335
810000,0.072973914,0.078058839
820000,0.135116667,0.097310007
830000,0.091633327,0.026918519
840000,0.02672001,0.044072002
850000,0.042857155,0.047533326
860000,0.099959984,0.050000004
870000,-0.005847063,0.164257139
880000,0.107413344,0.043373331
890000,0.029947829,0.043431584
900000,0.035714265,0.07984288
910000,0.064462073,0.084724136
920000,0.046490002,0.075000003
930000,0.040053327,0.054166671
940000,0.029545447,0.08935295
950000,0.020000011,-0.003285706
960000,0.025000002,0.125246137
970000,0.120847628,0.06662222
980000,0.116349995,0.105838105
990000,0.082157142,0.080894746
1000000,0.042876195,0.075300001
1010000,0.040909089,0.051645722
1020000,0.082419053,0.108000003
1030000,0.010649997,0.026666654
1040000,0.068745464,0.150000006
1050000,0.117857143,0.033928573
1060000,0.062500007,0.092641383
1070000,0.17938824,0.056250002
1080000,-0.007873693,0.120000012
1090000,0.123505883,0.087809093
1100000,0.080020003,0.094546162
1110000,0.029064285,-0.002631581
1120000,0.146799996,0.081818193
1130000,0.071552947,0.051923078
1140000,0.148583323,0.055
1150000,0.034503449,0.094230771
1160000,0.035000008,0.109090909
1170000,0.125000015,0.079545461
1180000,0.071874991,0.123705894
1190000,0.074999996,0.01313333
1200000,0.049999997,0.07500001
1210000,0.066666678,0.14705883
1220000,0.090625003,0.083322227
1230000,0.075000003,0.072222218
1240000,0.126653343,0.069444448
1250000,0.010536836,0.056669232
1260000,0.099978954,0.075120002
1270000,0.014729416,0.065277778
1280000,0.091666669,0.106671996
1290000,0.066666663,0.107366666
1300000,0.087729417,0.081709094
1310000,0.110750012,0.089683332
1320000,-0.021400001,0.090024002
1330000,0.024999999,0.091666661
1340000,0.080917656,0.146874994
1350000,0.019705273,0.107500009
1360000,0.135630757,0.120305888
1370000,0.069120005,0.038864519
1380000,0.141618207,0.082499996
1390000,0.068262495,0.096000001
1400000,0.038235292,0.025762517
1410000,0.113126323,0.082078271
1420000,0.047094122,0.113888882
1430000,0.102877416,0.116591312
1440000,0.087812506,0.056423083
1450000,0.0625,0.047870014
1460000,-0.049957898,0.110777788
1470000,0.040000003,0.01969697
1480000,0.079782605,0.052941181
1490000,0.000714285,0.043181811
1500000,0.147035286,0.092780955
1510000,0.053876925,0.027470974
1520000,0.090625025,0.014285712
1530000,0.178915784,0.09375
1540000,0.046679996,0.096428566
1550000,-0.0036087,0.078846157
1560000,0.124213338,0.031818174
1570000,0.055862509,0.054713514
1580000,-0.035705894,0.028468966
1590000,0.067857154,0.06176471
1600000,0.042063162,0.124200001
1610000,0.014323799,0.056952633
1620000,0.043749999,0.057582606
1630000,0.065417394,0.07500001
1640000,0.055569235,0.099999994
1650000,0.003892312,0.083333336
1660000,0.0625,0.105000012
1670000,0.132893339,0.070006907
1680000,0.077830002,0.054437041
1690000,0.007390006,0.129335999
1700000,0.036282752,0.045094103
1710000,0.081250012,0.108333334
1720000,0.116640002,0.153069586
1730000,-0.015353844,0.049381819
1740000,0.047222227,0.017720001
1750000,0.159374997,0.09062501
1760000,0.137500003,0.245381832
1770000,0.032500006,0.049006246
1780000,0.133333325,0.167125002
1790000,0.156345457,0.083766669
1800000,0.007658811,0.102300003
1810000,0.120536849,0.036015391
1820000,-0.017608,0.045200005
1830000,0.089511119,0.087483339
1840000,0.06809143,0.070481829
1850000,0.084090903,0.046551727
1860000,0.035714295,0.118432008
1870000,0.119009532,0.103708342
1880000,0.002673685,0.015120928
1890000,0.254527301,0.14184761
1900000,0.022788882,0.090500005
1910000,0.109093331,0.037485711
1920000,0.035530429,0.078571431
1930000,0.092500009,0.145713061
1940000,0.071263999,0.049951725
1950000,0.105936363,0.075695656
1960000,0.164825007,0.137718186
1970000,0.041211765,0.041168001
1980000,0.093181826,0.068014815
1990000,0.154000014,0.031083874
2000000,0.04130435,0.203830764
2010000,0.150000021,-0.002621047
2020000,0.09573333,0.097657152
2030000,0.065935142,0.137449995
2040000,0.064285725,0.047400013
2050000,0.209485725,0.092088006
2060000,0.048025001,0.113147371
2070000,0.051363636,-0.003830763
2080000,0.014546672,0.100419052
2090000,0.061363641,0.063600004
2100000,0.097222231,0.095499992
2110000,0.054412909,0.033361912
2120000,0.01796522,0.037500001
2130000,0.114666671,0.04319999
2140000,0.075739138,0.109381825
2150000,0.066321738,0.032809995
2160000,0.048983999,0.152516678
2170000,0.229476929,0.037487503
2180000,0.078991301,0.018886665
2190000,0.065000005,0.034069579
2200000,0.040909093,0.098147385
2210000,0.118063994,0.060894124
2220000,0.047756523,0.087499999
2230000,0.064285725,0.006250011
2240000,0.100000024,0.126435325
2250000,0.147023544,0.071428567
2260000,0.010040026,0.0500261
2270000,0.069642857,0.135747373
2280000,0.086111128,0.042849999
2290000,0.117975995,-0.002652634
2300000,0.005917651,0.080555551
2310000,0.028846152,0.178947374
2320000,0.107692324,0.082500018
2330000,0.175773337,0.048148148
2340000,0.035365209,0.203800008
2350000,0.09043809,0.077649988
2360000,0.050010003,0.027516669
2370000,0.052199997,0.085128576
2380000,0.128905267,0.055472001
2390000,0.071750015,0.110834792
2400000,0.056433339,0.034031998
2410000,0.064516127,0.112313062
2420000,0.091788247,0.057942867
2430000,0.065242112,0.127499998
2440000,0.149973348,0.103968419
2450000,0.08943335,0.064973325
2460000,0.074157141,0.146640003
2470000,0.07433749,0.025038462
2480000,0.083830006,0.04114119
2490000,0.073723815,0.051234785
2500000,0.069230773,0.045930773
2510000,0.048437506,0.018818183
2520000,0.097222231,0.101963639
2530000,0.115625009,0.060011767
2540000,0.069444455,0.117144004
2550000,0.064285733,0.053399999
2560000,0.149440005,0.069771431
2570000,0.079157151,0.02721482
2580000,0.065581828,0.072222225
2590000,0.093500011,0.064583339
2600000,0.01767059,0.131547362
2610000,0.070768006,0.048024006
2620000,0.090027273,0.192261577
2630000,0.042864289,0.057028569
2640000,0.029411774,0.041400004
2650000,0.161764696,0.102122582
2660000,0.094733328,0.101119995
2670000,0.036971431,0.046838887
2680000,0.147506669,0.062565528
2690000,0.028670575,0.112499997
2700000,0.123771437,0.070454538
2710000,0.086146161,0.11424762
2720000,0.000523807,0.046199992
2730000,0.037500005,0.072088897
2740000,0.108695656,0.055790465
2750000,0.041176468,0.09030588
2760000,0.12250001,0.066578574
2770000,0.104464009,0.00969677
2780000,0.048842859,0.084126823
2790000,0.035577781,0.060672719
2800000,0.045484222,0.051066678
2810000,0.071666673,0.103971437
2820000,0.11662858,0.038290005
2830000,0.08126875,-0.007104763
2840000,0.028580952,0.083333328
2850000,0.158936009,0.147336841
2860000,0.079838105,0.033361904
2870000,0.100000009,0.0625
2880000,0.055263165,0.053571433
2890000,0.113104358,0.043749996
2900000,0.07992667,0.035000004
2910000,0.038031995,0.088565715
2920000,0.213136852,0.018525926
2930000,0.042688891,0.069642864
2940000,0.022577779,0.108853348
2950000,0.028373353,0.100214295
2960000,0.110324144,0.063905254
2970000,0.048024006,0.165757909
2980000,0.132142872,0.067871429
2990000,0.081249997,0.015800003
3000000,0.123992018,0.067307696
3010000,0.010612117,0.075000003
3020000,0.078749999,0.121874988
3030000,0.104533345,0.084375016
3040000,0.076419055,0.099186651
3050000,0.065000005,0.146783322
3060000,0.131270602,0.028295664
3070000,0.053587876,0.04958621
3080000,0.070454545,0.017913047
3090000,0.077400006,0.047916662
3100000,0.062689483,0.081250004
3110000,0.025359999,0.044642858
3120000,0.053846158,0.085000016
3130000,0.13818261,0.051785711
3140000,0.088812493,0.082047053
3150000,0.039266665,0.078233331
3160000,0.075954288,0.094055183
3170000,0.084375016,0.11666669
3180000,0.094180949,0.064583339
3190000,0.089192316,0.170833349
3200000,0.019424992,0.121270597
3210000,0.044916138,0.101260021
3220000,0.10357143,0.00234074
3230000,0.127083331,0.08528237
3240000,0.203319997,0.08334668
3250000,0.053036373,0.056678262
3260000,0.060483873,0.087856002
3270000,0.060897443,0.133333325
3280000,0.105555572,0.023076922
3290000,0.102272734,0.070000008
3300000,0.079166666,0.143600017
3310000,0.082993545,0.030390013
3320000,0.052859262,0.166700006
3330000,0.149952948,-0.008799991
3340000,0.093626671,0.084374994
3350000,0.059645455,0.206613347
3360000,0.117474996,0.065408327
3370000,0.126175016,0.109030001
3380000,0.048250001,0.001527272
3390000,0.102936007,0.084756523
3400000,0.144105881,0.059412517
3410000,0.053036366,0.059090916
3420000,0.078484453,0.164682359
3430000,0.194157153,0.030971434
3440000,0.048991665,0.057500001
3450000,0.040691432,0.138430789
3460000,0.15259999,1.91E-05
3470000,0.071872726,0.092500016
3480000,0.056977779,0.069678791
3490000,0.070580013,-0.003293326
3500000,0.061140742,0.12187501
3510000,0.079166673,0.110294119
3520000,0.119715162,0.077777788
3530000,0.011876188,0.087411761
3540000,0.052272726,0.050608698
3550000,0.096875004,0.14046669
3560000,0.082500018,0.056620002
3570000,0.076666668,0.039830774
3580000,0.037500001,0.081249997
3590000,0.13602069,0.088141195
3600000,0.024274083,0.21331428
3610000,0.127168417,0.047323085
3620000,0.059640009,0.127442122
3630000,0.084090918,0.065430775
3640000,0.104926325,0.058447622
3650000,0.072787091,0.105221063
3660000,0.055882353,-0.043279994
3670000,0.089285716,0.236666694
3680000,0.100000001,0.046551734
3690000,0.122214824,0.110295244
3700000,0.025933336,0.055566672
3710000,0.124110341,0.076482356
3720000,0.018102128,0.094642863
3730000,0.086838715,0.096874997
3740000,0.06750001,0.206200004
3750000,0.109383337,-0.006199996
3760000,0.070133343,0.070454553
3770000,0.115337521,0.108811766
3780000,0.077614293,0.108192302
3790000,0.047664516,0.052275013
3800000,0.109259263,0.07888332
3810000,0.062692843,0.009574989
3820000,0.035234146,0.04731765
3830000,0.104313046,0.094000004
3840000,0.046457149,0.051724136
3850000,0.063060887,0.051785715
3860000,0.108333357,0.089999996
3870000,0.026666665,0.196613342
3880000,0.091608711,0.062537506
3890000,0.059330769,0.026200008
3900000,0.050016005,0.134182617
3910000,0.118410528,0.048094735
3920000,0.024380956,0.075000003
3930000,0.019188238,0.03125
3940000,0.047500007,0.129973352
3950000,0.13181819,0.04889524
3960000,0.135270596,0.052799992
3970000,0.05632728,0.03574118
3980000,0.058484212,0.130769253
3990000,0.121721752,0.010526313
4000000,0.034015995,0.176892325
4010000,0.161752954,0.017670589
