Step,POCA,PPO
10000,1200.525879,1199.765625
20000,1200.981689,1201.020508
30000,1199.675415,1199.146973
40000,1198.997681,1200.706299
50000,1199.018799,1201.135864
60000,1199.018799,1204.596191
70000,1199.018799,1203.664917
80000,1199.192627,1207.356445
90000,1198.505981,1208.76001
100000,1197.255249,1212.172852
110000,1195.025024,1211.627808
120000,1195.025024,1211.627808
130000,1195.025024,1211.627808
140000,1195.025024,1211.627808
150000,1195.025024,1211.627808
160000,1194.614746,1211.627808
170000,1192.035278,1211.627808
180000,1192.035278,1211.627808
190000,1191.3396,1212.738525
200000,1191.572632,1215.741821
210000,1192.348511,1215.044312
220000,1192.348511,1214.946777
230000,1192.461792,1214.946777
240000,1191.441162,1213.278442
250000,1190.573242,1211.94812
260000,1188.075195,1211.94812
270000,1191.713623,1211.94812
280000,1190.821289,1211.94812
290000,1191.944214,1211.94812
300000,1191.245239,1211.94812
310000,1191.389648,1211.94812
320000,1194.382935,1213.188354
330000,1197.545288,1213.188354
340000,1197.677856,1210.087402
350000,1197.426147,1209.466919
360000,1196.179077,1209.534546
370000,1196.170532,1210.074219
380000,1196.630615,1210.14917
390000,1196.630615,1212.392944
400000,1196.70874,1212.742432
410000,1196.642212,1213.110962
420000,1198.383911,1214.550659
430000,1198.252686,1215.667114
440000,1201.65625,1217.928101
450000,1203.965332,1219.61853
460000,1203.348633,1216.995117
470000,1203.348633,1215.406738
480000,1203.348633,1215.406738
490000,1203.348633,1215.406738
500000,1203.61792,1216.633423
510000,1204.137939,1221.640869
520000,1204.187012,1224.560425
530000,1204.187012,1223.67395
540000,1204.187012,1223.841064
550000,1204.187012,1223.175781
560000,1203.997803,1222.443481
570000,1203.257813,1224.727783
580000,1204.153198,1223.208008
590000,1204.153198,1222.329834
600000,1204.153198,1221.780151
610000,1204.153198,1221.780151
620000,1204.153198,1221.780151
630000,1203.108276,1221.522461
640000,1199.353149,1221.6875
650000,1199.867676,1220.893677
660000,1196.947266,1220.634888
670000,1194.581299,1220.760742
680000,1193.976074,1220.760742
690000,1191.817383,1220.621704
700000,1189.444824,1218.953857
710000,1187.135254,1219.180054
720000,1185.83728,1223.213013
730000,1183.329712,1224.198486
740000,1183.25,1224.778931
750000,1183.25,1228.797607
760000,1183.348267,1228.652466
770000,1185.649536,1228.569214
780000,1186.838135,1224.90564
790000,1187.146606,1225.86438
800000,1183.110352,1227.096191
810000,1181.968384,1228.501099
820000,1181.968384,1229.231689
830000,1181.968384,1230.434937
840000,1181.968384,1230.208862
850000,1181.968384,1230.015991
860000,1183.442627,1230.015991
870000,1181.917236,1230.015991
880000,1181.659302,1230.015991
890000,1181.254272,1230.015991
900000,1181.078857,1230.015991
910000,1180.532959,1229.954468
920000,1180.510376,1227.890259
930000,1181.399536,1228.081299
940000,1183.566406,1227.993408
960000,1182.692871,1227.244873
970000,1182.938721,1227.121704
980000,1186.360718,1227.121704
990000,1186.370483,1227.121704
1000000,1186.182251,1228.212402
1010000,1186.878174,1229.926025
1020000,1186.643311,1233.671753
1030000,1186.741089,1235.109985
1040000,1186.075073,1237.337402
1050000,1186.075073,1238.681274
1060000,1185.512085,1238.681274
1070000,1185.898682,1236.536377
1080000,1186.891846,1235.083252
1090000,1185.516479,1234.689941
1100000,1185.820923,1234.671753
1110000,1185.462524,1233.176514
1120000,1187.580322,1231.7229
1130000,1187.801392,1231.863037
1140000,1187.801392,1234.101563
1150000,1187.801392,1236.240234
1160000,1187.801392,1236.786621
1170000,1188.049683,1238.602417
1180000,1188.776367,1238.40686
1190000,1188.671509,1235.498657
1200000,1184.956055,1233.527222
1210000,1181.871216,1234.991333
1220000,1181.871216,1236.901855
1230000,1182.05603,1239.497192
1240000,1183.013916,1239.362915
1250000,1182.29541,1237.587524
1260000,1181.968628,1236.347778
1270000,1179.612915,1237.119751
1280000,1179.192505,1236.787842
1290000,1180.101318,1235.697144
1300000,1178.719116,1237.83728
1310000,1180.865112,1237.3302
1320000,1180.459839,1237.39209
1330000,1177.578247,1236.651855
1340000,1176.341797,1238.099731
1350000,1176.341797,1237.245972
1360000,1177.410278,1237.245972
1370000,1176.460693,1237.245972
1380000,1176.460693,1237.465698
1390000,1176.029175,1235.425049
1400000,1176.681885,1234.307617
1410000,1176.734131,1234.786621
1420000,1177.36438,1236.990723
1430000,1178.480591,1236.269165
1440000,1178.723389,1236.360229
1450000,1178.723389,1233.463623
1460000,1176.765015,1231.428467
1470000,1173.759888,1231.471313
1480000,1173.759888,1234.005981
1490000,1173.759888,1235.945923
1500000,1173.759888,1236.247803
1510000,1173.759888,1233.595947
1520000,1175.39563,1232.465332
1530000,1175.771973,1230.477417
1540000,1175.771973,1230.12439
1550000,1173.395996,1231.758545
1560000,1173.931152,1226.793579
1570000,1173.888916,1228.266724
1580000,1172.037109,1226.338745
1590000,1170.298706,1226.179077
1600000,1169.923462,1228.70813
1610000,1167.229858,1228.800171
1620000,1167.22168,1229.230713
1630000,1166.89209,1232.515259
1640000,1164.783447,1235.262573
1650000,1166.605957,1235.883667
1660000,1167.261353,1238.106689
1670000,1166.75647,1237.07373
1680000,1166.82019,1236.877808
1690000,1166.82019,1236.939087
1700000,1169.124023,1237.821411
1710000,1173.543823,1237.821411
1720000,1173.279785,1240.641602
1730000,1172.305786,1242.397583
1740000,1172.644043,1245.138062
1750000,1172.275269,1244.678589
1760000,1172.099854,1244.857544
1770000,1172.099854,1244.446045
1780000,1173.567139,1243.845459
1790000,1175.049683,1244.767212
1800000,1174.963501,1246.976563
1810000,1177.377686,1247.663452
1820000,1172.677979,1247.663452
1830000,1167.428345,1247.581421
1840000,1167.428345,1245.702759
1850000,1167.428345,1248.046997
1860000,1168.274658,1251.27063
1870000,1169.727783,1251.453003
1880000,1171.931885,1245.963745
1890000,1171.839966,1244.9375
1900000,1173.28772,1247.466675
1910000,1174.779053,1246.29248
1920000,1174.773315,1247.750488
1930000,1173.235962,1248.726196
1940000,1173.945557,1250.71521
1950000,1173.274414,1251.380859
1960000,1174.373169,1251.380859
1970000,1177.797729,1250.83667
1980000,1183.271851,1251.251221
1990000,1181.67981,1253.133667
2000000,1181.561646,1252.036621
2010000,1184.914917,1251.380615
2020000,1187.217041,1250.665649
2030000,1189.099487,1251.028687
2040000,1191.390015,1251.028687
2050000,1191.317505,1251.028687
2060000,1193.564331,1251.171143
2070000,1190.386353,1250.944702
2080000,1189.39502,1251.771118
2090000,1188.084473,1251.99585
2100000,1188.084473,1251.18396
2110000,1184.842529,1250.936523
2120000,1180.644409,1250.269653
2130000,1181.456665,1248.709717
2140000,1183.019775,1249.637573
2150000,1183.421875,1246.467529
2160000,1183.255371,1243.61438
2170000,1187.009644,1243.190918
2180000,1191.957275,1241.685791
2190000,1194.677368,1238.516357
2200000,1194.833374,1237.063721
2210000,1196.38147,1235.760254
2220000,1196.411621,1236.452393
2230000,1196.411621,1234.102051
2240000,1196.352905,1233.817749
2250000,1200.294556,1233.569214
2260000,1202.065552,1231.826172
2270000,1202.065552,1234.29187
2280000,1202.065552,1237.665405
2290000,1202.065552,1239.338989
2300000,1202.065552,1239.657227
2310000,1202.402832,1240.224365
2320000,1199.22998,1239.553223
2330000,1199.846802,1238.341919
2340000,1199.313232,1240.524048
2350000,1196.243896,1240.772827
2360000,1192.336914,1240.521851
2370000,1190.994019,1239.771362
2380000,1190.869507,1240.491699
2390000,1190.062134,1240.081421
2400000,1187.889893,1240.044312
2410000,1186.136719,1240.521484
2420000,1186.136719,1239.978027
2430000,1186.136719,1240.421997
2440000,1186.136719,1238.743286
2450000,1185.898804,1238.743286
2460000,1183.777832,1238.743286
2470000,1182.955566,1238.743286
2480000,1182.150024,1238.743286
2490000,1183.695068,1238.660034
2500000,1186.943848,1236.404175
2510000,1186.245972,1234.911621
2520000,1186.245972,1234.911621
2530000,1186.245972,1235.960815
2540000,1186.287842,1237.950928
2550000,1185.269287,1238.021484
2560000,1186.216797,1238.268555
2570000,1186.196655,1236.109375
2580000,1185.268921,1235.027832
2590000,1185.548462,1234.804565
2600000,1183.938354,1229.839966
2610000,1185.35022,1228.076294
2620000,1185.476196,1227.762939
2630000,1185.476196,1225.799194
2640000,1185.476196,1223.640869
2650000,1185.476196,1223.616699
2660000,1185.476196,1223.631348
2670000,1185.476196,1225.182861
2680000,1185.476196,1228.183472
2690000,1184.693115,1230.400391
2700000,1183.428955,1231.874512
2710000,1183.428955,1232.196777
2720000,1183.428955,1229.807007
2730000,1183.739624,1228.187744
2740000,1183.421387,1228.171143
2750000,1181.467041,1230.451172
2760000,1181.277222,1229.530884
2770000,1182.450073,1230.361816
2780000,1181.700317,1230.361816
2790000,1181.011475,1230.361816
2800000,1180.656494,1230.361816
2810000,1180.598999,1230.361816
2820000,1181.745605,1226.714233
2830000,1181.498169,1226.362915
2840000,1182.322754,1226.362915
2850000,1188.41394,1226.362915
2860000,1191.655273,1226.362915
2870000,1191.655273,1225.56189
2880000,1191.74292,1224.017944
2890000,1190.686279,1223.354492
2900000,1190.852661,1223.792114
2910000,1191.362915,1220.384888
2920000,1191.404907,1218.378296
2930000,1191.404907,1218.638428
2940000,1191.404907,1219.692993
2950000,1191.404907,1220.605225
2960000,1191.129761,1220.605225
2970000,1192.025146,1220.729736
2980000,1192.602661,1218.839233
2990000,1193.014893,1217.694336
3000000,1193.014893,1217.694336
3010000,1191.389893,1217.672485
3020000,1191.539307,1217.0625
3030000,1193.292603,1216.818848
3040000,1194.864136,1216.818848
3050000,1193.73877,1216.818848
3060000,1191.12207,1213.776978
3070000,1189.774414,1207.05603
3080000,1188.130371,1206.401611
3090000,1190.925415,1205.760376
3100000,1189.864868,1205.86792
3110000,1189.30896,1204.296265
3120000,1188.994141,1201.555664
3130000,1193.418091,1198.207031
3140000,1196.747925,1198.524536
3150000,1195.815308,1197.994995
3160000,1193.414307,1199.845459
3170000,1195.649902,1202.38147
3180000,1195.389038,1202.365234
3190000,1193.585938,1201.170654
3200000,1193.646484,1200.35022
3210000,1193.646484,1200.185913
3220000,1194.262695,1196.980347
3230000,1198.75,1195.851929
3240000,1198.256348,1197.749268
3250000,1198.158203,1195.306152
3260000,1197.062256,1193.089233
3270000,1197.883667,1193.727905
3280000,1198.018433,1193.983521
3290000,1198.018433,1194.491333
3300000,1198.018433,1194.666504
3310000,1196.863525,1194.666504
3320000,1197.949585,1194.666504
3330000,1199.641724,1194.666504
3340000,1200.949463,1192.169312
3350000,1200.949463,1191.751465
3360000,1201.862915,1193.059326
3370000,1201.884155,1192.572266
3380000,1201.884155,1188.974609
3390000,1201.884155,1183.246216
3400000,1201.884155,1182.585327
3410000,1201.591553,1182.585327
3420000,1201.668091,1181.840576
3430000,1201.799561,1181.592407
3440000,1201.912109,1181.592407
3450000,1201.912109,1181.592407
3460000,1201.912109,1181.592407
3470000,1200.453125,1178.64624
3480000,1197.847656,1175.069336
3490000,1196.884155,1174.954712
3500000,1196.884155,1174.954712
3510000,1197.512085,1174.954712
3520000,1199.824341,1174.954712
3530000,1199.28894,1174.954712
3540000,1194.166992,1174.954712
3550000,1192.709839,1174.954712
3560000,1194.539795,1176.623291
3570000,1197.140625,1176.696167
3580000,1198.50415,1176.092163
3590000,1198.732666,1175.063721
3600000,1197.973755,1175.953735
3610000,1193.286255,1178.751221
3620000,1196.381836,1181.345825
3630000,1196.788574,1176.334961
3640000,1196.744751,1175.295288
3650000,1196.805054,1175.53772
3660000,1196.880981,1173.179077
3670000,1196.962891,1173.179077
3680000,1196.339844,1175.359619
3690000,1199.849976,1175.376343
3700000,1200.882446,1175.008179
3710000,1200.882446,1175.008179
3720000,1198.081665,1175.565796
3730000,1195.184082,1177.177612
3740000,1195.978027,1176.962036
3750000,1196.26416,1176.962036
3760000,1194.516602,1176.962036
3770000,1196.190308,1177.129028
3780000,1196.240234,1176.213135
3790000,1196.960571,1176.213135
3800000,1195.475586,1176.037964
3810000,1191.581177,1175.744385
3820000,1189.842529,1171.666504
3830000,1189.828125,1168.445435
3840000,1189.828125,1169.557739
3850000,1190.954346,1169.311279
3860000,1190.914307,1168.576172
3870000,1189.951294,1170.317749
3880000,1187.384766,1171.721069
3890000,1187.117798,1171.514771
3900000,1188.324219,1171.514771
3910000,1188.053589,1171.514771
3920000,1187.320923,1171.514771
3930000,1184.522705,1171.514771
3940000,1184.289429,1171.514771
3950000,1185.17627,1174.279297
3960000,1185.229126,1173.102661
3970000,1184.733032,1172.620117
3980000,1184.273315,1171.844971
3990000,1184.902466,1169.37854
4000000,1185.517822,1168.450562
4010000,1188.769897,1169.81665
4020000,1188.868652,1174.206421
4030000,1188.868652,1172.318359
4040000,1188.491211,1168.771729
4050000,1187.038818,1164.87561
4060000,1187.106079,1164.977661
4070000,1189.685547,1164.869873
4080000,1186.19751,1166.938477
4090000,1185.901733,1169.937256
4100000,1182.198853,1169.937256
4110000,1180.231812,1170.019165
4120000,1177.705322,1172.769043
4130000,1175.707275,1172.127686
4140000,1177.481812,1171.55957
4150000,1180.337402,1171.55957
4160000,1179.891357,1172.177246
4170000,1179.440308,1175.509766
4180000,1179.859863,1177.638672
4190000,1181.588379,1178.272339
4200000,1180.88562,1177.736938
4210000,1180.963379,1175.134644
4220000,1181.116943,1172.71814
4230000,1180.908203,1169.84436
4240000,1180.908203,1171.12085
4250000,1181.52771,1170.808228
4260000,1185.063232,1169.087891
4270000,1186.434204,1170.440674
4280000,1184.17334,1169.42627
4290000,1187.109619,1169.852417
4300000,1184.501587,1169.264038
4310000,1184.661865,1165.819214
4320000,1185.876831,1164.640747
4330000,1186.37854,1167.21228
4340000,1185.609131,1168.894531
4350000,1185.716919,1168.894531
4360000,1185.998413,1169.234009
4370000,1185.090698,1171.081177
4380000,1185.090698,1166.752197
4390000,1185.730835,1159.846802
4400000,1183.254028,1155.145386
4410000,1184.08252,1154.823853
4420000,1186.029907,1155.918701
4430000,1187.604126,1155.273804
4440000,1184.754028,1154.122437
4450000,1184.754028,1155.35437
