Step,POCA,PPO
10000,3.295795679,3.295809031
20000,3.295790195,3.295809746
30000,3.285251141,3.295810699
40000,3.283209562,3.295808315
50000,3.273690939,3.287896395
60000,3.269401073,3.29054141
70000,3.258764267,3.289608002
80000,3.265943289,3.287337542
90000,3.245859385,3.280844212
100000,3.247869968,3.278747082
110000,3.240183353,3.279096603
120000,3.224836111,3.278465033
130000,3.219716311,3.276377916
140000,3.197249889,3.270704031
150000,3.198229313,3.269949436
160000,3.197221279,3.271866083
170000,3.193002939,3.271343708
180000,3.193309784,3.273967981
190000,3.21833539,3.276910543
200000,3.227699757,3.275742054
210000,3.190074444,3.281347513
220000,3.203208685,3.272763491
230000,3.234741688,3.271345854
240000,3.19700551,3.275416136
250000,3.201768875,3.272104263
260000,3.201641321,3.26396203
270000,3.218855619,3.263975859
280000,3.228604794,3.264399767
290000,3.222094774,3.263061762
300000,3.218071222,3.259250402
310000,3.203495979,3.257477045
320000,3.204660177,3.258821726
330000,3.214507818,3.258008957
340000,3.215028048,3.250940084
350000,3.208313227,3.253452778
360000,3.222853184,3.251963139
370000,3.226090431,3.251490355
380000,3.225155115,3.246014118
390000,3.221723557,3.227508783
400000,3.215528727,3.227667332
410000,3.210784674,3.242676258
420000,3.208087921,3.230224133
430000,3.208132267,3.233091593
440000,3.212997198,3.243681192
450000,3.195804834,3.243474483
460000,3.195137501,3.237411499
470000,3.177872896,3.232470512
480000,3.167761087,3.230849028
490000,3.165694714,3.230330467
500000,3.155879736,3.228685617
510000,3.164065361,3.23243022
520000,3.16955924,3.237324476
530000,3.145916224,3.233577728
540000,3.134907246,3.237145901
550000,3.130281448,3.216902256
560000,3.17098403,3.208581686
570000,3.183504581,3.219431162
580000,3.203976631,3.220205069
590000,3.20864296,3.209730387
600000,3.191672325,3.205664396
610000,3.183416843,3.19951129
620000,3.195953846,3.195039034
630000,3.165019035,3.202657938
640000,3.172480583,3.204218626
650000,3.185685396,3.197044849
660000,3.163311958,3.200941324
670000,3.160175562,3.197042942
680000,3.166087151,3.209857464
690000,3.152818441,3.214924097
700000,3.17868948,3.223230839
710000,3.154247999,3.200833082
720000,3.172750711,3.208541393
730000,3.166639328,3.210028172
740000,3.152431965,3.211357355
750000,3.154368877,3.213404655
760000,3.152822018,3.207736731
770000,3.170092344,3.198807001
780000,3.158473015,3.202239752
790000,3.171628237,3.201193571
800000,3.170807123,3.198884726
810000,3.121212006,3.199182749
820000,3.126360178,3.196438551
830000,3.101577997,3.201485872
840000,3.086479664,3.199964285
850000,3.079589844,3.198699474
860000,3.088915825,3.196061611
870000,3.07471633,3.207675457
880000,3.115620136,3.204154491
890000,3.10289216,3.182709932
900000,3.08685708,3.190092087
910000,3.063520908,3.193303823
920000,3.031166553,3.188362837
930000,3.082679272,3.181027174
940000,3.032934666,3.171108246
950000,3.044840813,3.184755325
960000,3.070323467,3.197655916
970000,3.084676981,3.166139364
980000,3.085849524,3.177735329
990000,3.122764587,3.179442167
1000000,3.131384134,3.184322596
1010000,3.118328571,3.195842505
1020000,3.125346422,3.195838451
1030000,3.142207623,3.188040733
1040000,3.140969753,3.201472282
1050000,3.180626869,3.197278261
1060000,3.138210058,3.194093704
1070000,3.123188257,3.190084457
1080000,3.124942303,3.204126835
1090000,3.140475035,3.204368114
1100000,3.166239738,3.201322794
1110000,3.165522814,3.198504925
1120000,3.153049231,3.200515509
1130000,3.158504963,3.19676733
1140000,3.142257214,3.201896429
1150000,3.155883551,3.200568438
1160000,3.155903339,3.204362869
1170000,3.168682814,3.19976449
1180000,3.158800602,3.203389645
1190000,3.164219379,3.204452991
1200000,3.152747154,3.207367897
1210000,3.160475731,3.201785326
1220000,3.172183514,3.206448793
1230000,3.157502174,3.212734461
1240000,3.157022476,3.217133999
1250000,3.164275646,3.211313725
1260000,3.159096003,3.221245766
1270000,3.167826414,3.21233964
1280000,3.164215088,3.203113556
1290000,3.160467148,3.20796442
1300000,3.142014265,3.210088491
1310000,3.138576508,3.207070351
1320000,3.124886513,3.203662395
1330000,3.128871918,3.212421179
1340000,3.145889282,3.201598167
1350000,3.148867369,3.204110861
1360000,3.156965256,3.204204559
1370000,3.136651993,3.20481205
1380000,3.129562616,3.201049805
1390000,3.157691717,3.202852011
1400000,3.149940491,3.216306686
1410000,3.161756516,3.210549116
1420000,3.158035994,3.217405796
1430000,3.166939974,3.206319809
1440000,3.163991451,3.208385468
1450000,3.175296783,3.215850592
1460000,3.173553705,3.222221375
1470000,3.179142237,3.216923714
1480000,3.182114601,3.211143494
1490000,3.18065834,3.220639229
1500000,3.18065238,3.217670679
1510000,3.165267229,3.203457594
1520000,3.168577671,3.21207881
1530000,3.165460587,3.21283865
1540000,3.15581274,3.215681076
1550000,3.148710012,3.21623826
1560000,3.129910469,3.213032007
1570000,3.138653994,3.207818747
1580000,3.171347857,3.203060627
1590000,3.174489498,3.207927227
1600000,3.161441326,3.209291458
1610000,3.1708076,3.19354701
1620000,3.174862146,3.201755285
1630000,3.173333406,3.204313517
1640000,3.165082693,3.206591368
1650000,3.150618076,3.203660488
1660000,3.158965826,3.207079172
1670000,3.173916101,3.201320648
1680000,3.173695803,3.194309711
1690000,3.187973976,3.195692062
1700000,3.184726477,3.183654547
1710000,3.151079416,3.185619354
1720000,3.154331923,3.182688236
1730000,3.161044359,3.196109056
1740000,3.166260958,3.201927423
1750000,3.166324139,3.207036734
1760000,3.16717267,3.206730604
1770000,3.165625334,3.196154118
1780000,3.172401905,3.19593358
1790000,3.157190561,3.198523283
1800000,3.159241199,3.199020147
1810000,3.157809019,3.186342478
1820000,3.176812172,3.191099644
1830000,3.170179605,3.186667681
1840000,3.151838303,3.187820911
1850000,3.165668964,3.187109709
1860000,3.171566725,3.177232265
1870000,3.188495874,3.188704967
1880000,3.190226793,3.180330276
1890000,3.187741041,3.181563854
1900000,3.183867931,3.192492008
1910000,3.193003893,3.20020771
1920000,3.191995382,3.192114115
1930000,3.186003685,3.193121433
1940000,3.203857183,3.191335678
1950000,3.20041275,3.199219465
1960000,3.193546057,3.202974081
1970000,3.184745073,3.202466249
1980000,3.166739464,3.204722643
1990000,3.196910381,3.184431553
2000000,3.19490695,3.174879789
2010000,3.200093269,3.188617706
2020000,3.190272093,3.181656599
2030000,3.192570686,3.190507889
2040000,3.184830189,3.188024759
2050000,3.189213514,3.186078787
2060000,3.185295105,3.194496155
2070000,3.180396318,3.190478563
2080000,3.172812223,3.196347237
2090000,3.17203927,3.188729048
2100000,3.169748545,3.192064047
2110000,3.178490162,3.195396423
2120000,3.161195517,3.177939653
2130000,3.157108784,3.191984892
2140000,3.14461112,3.184565306
2150000,3.139828682,3.195714712
2160000,3.14063549,3.199619293
2170000,3.148896217,3.192609549
2180000,3.165228367,3.196537256
2190000,3.166984558,3.191411018
2200000,3.151989937,3.192790747
2210000,3.121086836,3.19478631
2220000,3.119805098,3.187618732
2230000,3.131057501,3.201209545
2240000,3.150038242,3.195070028
2250000,3.154415607,3.202923059
2260000,3.154027224,3.194214344
2270000,3.146561384,3.182984352
2280000,3.141299486,3.192397118
2290000,3.120918274,3.189920664
2300000,3.135792017,3.196963072
2310000,3.146656752,3.196126223
2320000,3.135018587,3.190922022
2330000,3.138660192,3.191181421
2340000,3.129296541,3.196211338
2350000,3.124386311,3.186484098
2360000,3.12242794,3.190796375
2370000,3.122969151,3.185852766
2380000,3.115471601,3.188298225
2390000,3.104548216,3.187535524
2400000,3.105048418,3.193809032
2410000,3.078461647,3.198738813
2420000,3.079739571,3.207620144
2430000,3.099577665,3.206278563
2440000,3.119688988,3.214293242
2450000,3.092975855,3.217458725
2460000,3.112370968,3.211497784
2470000,3.093786955,3.217109442
2480000,3.102823019,3.218892813
2490000,3.087619781,3.214833021
2500000,3.098479033,3.213657379
2510000,3.078465462,3.211525202
2520000,3.085248232,3.207343102
2530000,3.081854343,3.220387936
2540000,3.100618601,3.211842299
2550000,3.102848768,3.215015173
2560000,3.102955103,3.210117579
2570000,3.116078854,3.214193344
2580000,3.10304451,3.219011545
2590000,3.112700224,3.201884985
2600000,3.099625111,3.20737505
2610000,3.096792936,3.216248035
2620000,3.104659319,3.210000038
2630000,3.096757889,3.211721897
2640000,3.098959684,3.20474267
2650000,3.113738775,3.194236994
2660000,3.120023966,3.2017138
2670000,3.131878614,3.198834419
2680000,3.141352654,3.202002764
2690000,3.119696617,3.1880126
2700000,3.143322468,3.191467285
2710000,3.139631271,3.165923119
2720000,3.1373806,3.190471411
2730000,3.11955142,3.177596569
2740000,3.133791924,3.201100349
2750000,3.15975523,3.198394537
2760000,3.15404892,3.189436436
2770000,3.143283844,3.185407639
2780000,3.124947071,3.176957369
2790000,3.128017426,3.18712163
2800000,3.154134512,3.189359188
2810000,3.126209021,3.181095362
2820000,3.133550406,3.201817751
2830000,3.146658182,3.185674191
2840000,3.141375303,3.178918362
2850000,3.15237546,3.183567524
2860000,3.138538599,3.183516979
2870000,3.141853333,3.191296339
2880000,3.140645266,3.191250086
2890000,3.128107786,3.193639517
2900000,3.121417761,3.184462547
2910000,3.137017965,3.177755356
2920000,3.131881714,3.159845829
2930000,3.119383335,3.177787781
2940000,3.126922846,3.18182826
2950000,3.106109619,3.191683292
2960000,3.128309727,3.173839808
2970000,3.113962889,3.186827898
2980000,3.124319792,3.180715561
2990000,3.120974541,3.199045897
3000000,3.115702629,3.19430232
3010000,3.128627062,3.191522598
3020000,3.140047789,3.194403648
3030000,3.1346457,3.203997374
3040000,3.117702723,3.218477488
3050000,3.131906033,3.204770088
3060000,3.129049301,3.19590354
3070000,3.118230581,3.196225166
3080000,3.123377562,3.202789068
3090000,3.11265254,3.213111639
3100000,3.098116398,3.209187269
3110000,3.11858964,3.210946083
3120000,3.106384754,3.21569109
3130000,3.129981041,3.202844143
3140000,3.112199545,3.199813366
3150000,3.115067244,3.204352379
3160000,3.100870371,3.209274292
3170000,3.106200218,3.203246593
3180000,3.096114635,3.200012684
3190000,3.101416111,3.204182386
3200000,3.087176323,3.211828232
3210000,3.079137802,3.206372261
3220000,3.077954292,3.201886892
3230000,3.098489523,3.20949626
3240000,3.078729391,3.203736067
3250000,3.076101303,3.198690891
3260000,3.033570528,3.190270424
3270000,3.066065073,3.195501566
3280000,3.070254564,3.207401276
3290000,3.058931351,3.1973176
3300000,3.069838762,3.20361042
3310000,3.055493116,3.192854643
3320000,3.073847532,3.197969675
3330000,3.095160246,3.192257643
3340000,3.094848156,3.197799444
3350000,3.095766306,3.173066378
3360000,3.093295574,3.184359312
3370000,3.111764431,3.19007206
3380000,3.100334167,3.180970669
3390000,3.108332872,3.181092024
3400000,3.104598045,3.1832757
3410000,3.1013484,3.186745405
3420000,3.10484767,3.166388035
3430000,3.099678278,3.182265282
3440000,3.088591814,3.166337729
3450000,3.078014612,3.159060001
3460000,3.063414097,3.160733223
