Step,HEARING,AWARENESS,CONTROL
10000,1200.513306,1198.187012,1200.525879
20000,1200.970337,1196.767456,1200.981689
30000,1200.970337,1196.227905,1199.675415
40000,1200.970337,1197.189331,1198.997681
50000,1200.970337,1200.486572,1199.018799
60000,1201.221924,1200.258301,1199.018799
70000,1204.691772,1197.556763,1199.018799
80000,1207.84436,1197.515625,1199.192627
90000,1208.16394,1197.373535,1198.505981
100000,1207.401489,1197.087891,1197.255249
110000,1207.401489,1195.569946,1195.025024
120000,1207.401489,1195.717163,1195.025024
130000,1209.476563,1193.647705,1195.025024
140000,1209.887085,1191.961304,1195.025024
150000,1210.313843,1191.976196,1195.025024
160000,1211.356201,1192.928711,1194.614746
170000,1213.729736,1195.318481,1192.035278
180000,1216.376709,1193.545044,1192.035278
190000,1217.782715,1192.785278,1191.3396
200000,1215.075806,1192.952759,1191.572632
210000,1216.677979,1192.788208,1192.348511
220000,1218.776978,1193.255249,1192.348511
230000,1218.330688,1193.76416,1192.461792
240000,1217.847046,1193.76416,1191.441162
250000,1217.847046,1193.76416,1190.573242
260000,1218.418579,1193.407349,1188.075195
270000,1220.993042,1190.651611,1191.713623
280000,1218.206787,1190.725952,1190.821289
290000,1218.119995,1190.562134,1191.944214
300000,1217.072266,1190.056885,1191.245239
310000,1212.305542,1192.836792,1191.389648
320000,1206.830444,1191.611572,1194.382935
330000,1206.114624,1189.800171,1197.545288
340000,1206.297485,1189.902344,1197.677856
350000,1206.504395,1190.665894,1197.426147
360000,1206.880981,1191.898682,1196.179077
370000,1209.32959,1191.934326,1196.170532
380000,1209.065063,1191.934326,1196.630615
390000,1207.755859,1192.873047,1196.630615
400000,1208.05603,1192.935547,1196.70874
410000,1208.21814,1192.379761,1196.642212
420000,1208.088257,1195.285645,1198.383911
430000,1207.507446,1195.176392,1198.252686
440000,1205.969116,1196.847656,1201.65625
450000,1206.396606,1200.635986,1203.965332
460000,1205.838745,1199.460327,1203.348633
470000,1203.288696,1198.901123,1203.348633
480000,1203.748291,1199.086914,1203.348633
490000,1206.344482,1200.332397,1203.348633
500000,1206.432251,1202.799927,1203.61792
510000,1206.432251,1207.414551,1204.137939
520000,1205.678223,1205.768311,1204.187012
530000,1207.040283,1204.350098,1204.187012
540000,1207.411865,1203.618286,1204.187012
550000,1207.411865,1204.637329,1204.187012
560000,1207.411865,1203.721924,1203.997803
570000,1208.215698,1203.713989,1203.257813
580000,1208.361694,1203.603516,1204.153198
590000,1208.361694,1203.722412,1204.153198
600000,1207.614014,1205.861572,1204.153198
610000,1205.377686,1206.680664,1204.153198
620000,1205.377686,1208.318604,1204.153198
630000,1205.377686,1208.32373,1203.108276
640000,1205.377686,1207.62793,1199.353149
650000,1205.377686,1207.950806,1199.867676
660000,1205.268066,1207.950806,1196.947266
670000,1202.719116,1207.177124,1194.581299
680000,1200.490967,1205.493286,1193.976074
690000,1200.490967,1205.445557,1191.817383
700000,1200.490967,1204.341187,1189.444824
710000,1200.490967,1205.09314,1187.135254
720000,1200.490967,1205.065063,1185.83728
730000,1200.490967,1205.419434,1183.329712
740000,1200.302002,1202.732544,1183.25
750000,1200.417725,1202.877441,1183.25
760000,1199.441528,1203.308228,1183.348267
770000,1200.014771,1203.308228,1185.649536
780000,1201.845581,1203.888794,1186.838135
790000,1200.401855,1203.139038,1187.146606
800000,1198.75,1201.266357,1183.110352
810000,1198.75,1201.564453,1181.968384
820000,1198.012939,1202.913818,1181.968384
830000,1195.704712,1204.218262,1181.968384
840000,1196.223755,1205.261475,1181.968384
850000,1194.904663,1205.166504,1181.968384
860000,1195.85022,1202.369629,1183.442627
870000,1194.565186,1202.252686,1181.917236
880000,1194.565186,1202.204224,1181.659302
890000,1195.307495,1203.608765,1181.254272
900000,1196.711548,1202.302856,1181.078857
910000,1196.675781,1202.302856,1180.532959
920000,1196.675781,1202.302856,1180.510376
930000,1196.675781,1202.500977,1181.399536
940000,1196.675781,1202.919922,1183.566406
950000,1196.675781,1199.958618,1182.692871
960000,1196.675781,1201.709229,1182.938721
970000,1197.550049,1199.50415,1186.360718
980000,1198.517578,1195.157104,1186.370483
990000,1199.967407,1197.990479,1186.182251
1000000,1197.385498,1197.990479,1186.878174
1010000,1197.349609,1197.990479,1186.643311
1020000,1197.349609,1197.504761,1186.741089
1030000,1197.349609,1197.99353,1186.075073
1040000,1196.815552,1199.025513,1186.075073
1050000,1192.747559,1199.149048,1185.512085
1060000,1192.883057,1199.149048,1185.898682
1070000,1193.539673,1199.149048,1186.891846
1080000,1193.624268,1198.305542,1185.516479
1090000,1193.624268,1194.707764,1185.820923
1100000,1193.738647,1194.312866,1185.462524
1110000,1193.577637,1192.298706,1187.580322
1120000,1193.680298,1192.274292,1187.801392
1130000,1194.303101,1192.274292,1187.801392
1140000,1197.045898,1192.274292,1187.801392
1150000,1196.504028,1192.274292,1187.801392
1160000,1196.659424,1193.223755,1188.049683
1170000,1199.481323,1194.376221,1188.776367
1180000,1199.458008,1197.084473,1188.671509
1190000,1195.121948,1197.853638,1184.956055
1200000,1193.643188,1198.316284,1181.871216
1210000,1192.886108,1198.910645,1181.871216
1220000,1191.843018,1198.983398,1182.05603
1230000,1193.826172,1197.450439,1183.013916
1240000,1195.808228,1197.376465,1182.29541
1250000,1195.676392,1196.814697,1181.968628
1260000,1194.063354,1194.981567,1179.612915
1270000,1189.229492,1194.518677,1179.192505
1280000,1188.122681,1192.888306,1180.101318
1290000,1188.038574,1191.457031,1178.719116
1300000,1188.658081,1191.426147,1180.865112
1310000,1187.692505,1192.284424,1180.459839
1320000,1188.145508,1192.488159,1177.578247
1330000,1183.718994,1193.456665,1176.341797
1340000,1182.568237,1194.37207,1176.341797
1350000,1182.568237,1194.4552,1177.410278
1360000,1182.568237,1194.4552,1176.460693
1370000,1184.663086,1193.105835,1176.460693
1380000,1185.610596,1191.877075,1176.029175
1390000,1185.610596,1195.069336,1176.681885
1400000,1185.610596,1195.596313,1176.734131
1410000,1181.778809,1195.596313,1177.36438
1420000,1183.413086,1195.596313,1178.480591
1430000,1184.830566,1197.0979,1178.723389
1440000,1185.019043,1198.535278,1178.723389
1450000,1187.317993,1198.535278,1176.765015
1460000,1189.700806,1198.524414,1173.759888
1470000,1190.794434,1199.529785,1173.759888
1480000,1192.603149,1197.270264,1173.759888
1490000,1194.65332,1197.619019,1173.759888
1500000,1194.65332,1196.796875,1173.759888
1510000,1195.303101,1196.605347,1175.39563
1520000,1197.5354,1196.776855,1175.771973
1530000,1199.579102,1196.776855,1175.771973
1540000,1200.178223,1196.776855,1173.395996
1550000,1200.658081,1196.953735,1173.931152
1560000,1199.663452,1194.862305,1173.888916
1570000,1201.647705,1194.779907,1172.037109
1580000,1199.238037,1193.793091,1170.298706
1590000,1201.895752,1193.696533,1169.923462
1600000,1201.895752,1194.223267,1167.229858
