Step,HEARING,AWARENESS,CONTROL
10000,3.295735836,3.294294119,3.295795679
20000,3.295733213,3.29418087,3.295790195
30000,3.290652514,3.285751581,3.285251141
40000,3.288042545,3.289697647,3.283209562
50000,3.271769285,3.27664566,3.273690939
60000,3.275490999,3.280828953,3.269401073
70000,3.278609514,3.264711857,3.258764267
80000,3.268871784,3.261914015,3.265943289
90000,3.265529633,3.255664825,3.245859385
100000,3.246398211,3.253116608,3.247869968
110000,3.243481874,3.240205288,3.240183353
120000,3.236204863,3.253321409,3.224836111
130000,3.240627289,3.24781251,3.219716311
140000,3.240454674,3.234581947,3.197249889
150000,3.235193491,3.24646306,3.198229313
160000,3.226005077,3.226257563,3.197221279
170000,3.24247551,3.209360123,3.193002939
180000,3.238695621,3.202967167,3.193309784
190000,3.231732845,3.191457987,3.21833539
200000,3.244767427,3.207326889,3.227699757
210000,3.235810757,3.196597338,3.190074444
220000,3.242351294,3.194041014,3.203208685
230000,3.231575727,3.202963352,3.234741688
240000,3.209952354,3.199243307,3.19700551
250000,3.20771265,3.204952002,3.201768875
260000,3.229171515,3.210181952,3.201641321
270000,3.228518963,3.207220554,3.218855619
280000,3.21393919,3.196659088,3.228604794
290000,3.21113205,3.191892147,3.222094774
300000,3.213913441,3.183968782,3.218071222
310000,3.201805592,3.183485031,3.203495979
320000,3.202996731,3.183596611,3.204660177
330000,3.209270716,3.183535337,3.214507818
340000,3.19479847,3.18112731,3.215028048
350000,3.180603027,3.189815283,3.208313227
360000,3.194270372,3.163288355,3.222853184
370000,3.181032181,3.158828735,3.226090431
380000,3.167292833,3.160946608,3.225155115
390000,3.170835257,3.145697594,3.221723557
400000,3.1671803,3.13526535,3.215528727
410000,3.171610355,3.174797297,3.210784674
420000,3.179442644,3.153349876,3.208087921
430000,3.179578304,3.152578831,3.208132267
440000,3.170971394,3.158925533,3.212997198
450000,3.177340746,3.159542561,3.195804834
460000,3.174618483,3.13634181,3.195137501
470000,3.165564775,3.122411251,3.177872896
480000,3.172560692,3.138352156,3.167761087
490000,3.179274321,3.120632648,3.165694714
500000,3.156243086,3.138537884,3.155879736
510000,3.159347773,3.146651745,3.164065361
520000,3.159263611,3.146307945,3.16955924
530000,3.176262617,3.114638329,3.145916224
540000,3.174206972,3.119532347,3.134907246
550000,3.181045771,3.125150681,3.130281448
560000,3.17662406,3.112737179,3.17098403
570000,3.167605639,3.118916273,3.183504581
580000,3.153131962,3.115196228,3.203976631
590000,3.153893471,3.120200157,3.20864296
600000,3.161488533,3.118443012,3.191672325
610000,3.149081469,3.138377905,3.183416843
620000,3.155370951,3.107784033,3.195953846
630000,3.140912771,3.114870071,3.165019035
640000,3.136278152,3.106188059,3.172480583
650000,3.134185076,3.111176968,3.185685396
660000,3.140779495,3.11280489,3.163311958
670000,3.125253439,3.113046646,3.160175562
680000,3.082260609,3.115259171,3.166087151
690000,3.085790634,3.10461998,3.152818441
700000,3.069666386,3.111768961,3.17868948
710000,3.095873594,3.122059822,3.154247999
720000,3.097325325,3.121038914,3.172750711
730000,3.096710682,3.096308708,3.166639328
740000,3.099923372,3.106570482,3.152431965
750000,3.1195364,3.105996847,3.154368877
760000,3.090559959,3.107735634,3.152822018
770000,3.097991943,3.096194506,3.170092344
780000,3.118136406,3.102231979,3.158473015
790000,3.109780073,3.097206831,3.171628237
800000,3.124969244,3.105211258,3.170807123
810000,3.127646685,3.101282835,3.121212006
820000,3.107946634,3.091962814,3.126360178
830000,3.101707458,3.104642391,3.101577997
840000,3.102746487,3.105275631,3.086479664
850000,3.094277859,3.109816313,3.079589844
860000,3.102241278,3.09728384,3.088915825
870000,3.108115196,3.113656998,3.07471633
880000,3.103827238,3.112208128,3.115620136
890000,3.090425253,3.110168695,3.10289216
900000,3.098639011,3.09727025,3.08685708
910000,3.111945868,3.099513292,3.063520908
920000,3.107944965,3.104939699,3.031166553
930000,3.107505322,3.095511913,3.082679272
940000,3.109593391,3.111699104,3.032934666
950000,3.104760885,3.106823683,3.044840813
960000,3.121488094,3.117390871,3.070323467
970000,3.116167307,3.109495401,3.084676981
980000,3.122195959,3.092932701,3.085849524
990000,3.130979061,3.088094711,3.122764587
1000000,3.134426832,3.098644257,3.131384134
1010000,3.150085926,3.099775314,3.118328571
1020000,3.147557497,3.094884157,3.125346422
1030000,3.140740156,3.088285208,3.142207623
1040000,3.133618116,3.07323885,3.140969753
1050000,3.126398087,3.070214033,3.180626869
1060000,3.12878108,3.06937027,3.138210058
1070000,3.131479263,3.07506156,3.123188257
1080000,3.130349874,3.085883617,3.124942303
1090000,3.133080006,3.084031105,3.140475035
1100000,3.131117821,3.094450951,3.166239738
1110000,3.133773088,3.095018387,3.165522814
1120000,3.135554314,3.110253334,3.153049231
1130000,3.149969578,3.088286638,3.158504963
1140000,3.139638186,3.08012557,3.142257214
1150000,3.152983665,3.075855732,3.155883551
1160000,3.150584459,3.070592165,3.155903339
1170000,3.136499405,3.086979151,3.168682814
1180000,3.134368181,3.066472054,3.158800602
1190000,3.13086772,3.060304642,3.164219379
1200000,3.136706114,3.08473444,3.152747154
1210000,3.12521863,3.099122286,3.160475731
1220000,3.129492998,3.107582331,3.172183514
1230000,3.123343706,3.095633745,3.157502174
1240000,3.145196915,3.080012083,3.157022476
1250000,3.135647535,3.107153893,3.164275646
1260000,3.136377335,3.106982231,3.159096003
1270000,3.118594646,3.09636569,3.167826414
1280000,3.100690126,3.080919027,3.164215088
1290000,3.111943483,3.100527048,3.160467148
1300000,3.131777525,3.105218172,3.142014265
1310000,3.159988165,3.09042573,3.138576508
1320000,3.161799669,3.092795372,3.124886513
1330000,3.158228159,3.107012749,3.128871918
1340000,3.148341179,3.089435816,3.145889282
1350000,3.149079323,3.099097729,3.148867369
1360000,3.158691406,3.090775251,3.156965256
1370000,3.147411823,3.088202953,3.136651993
1380000,3.178508282,3.086637259,3.129562616
1390000,3.171479225,3.099606037,3.157691717
1400000,3.164578676,3.090466976,3.149940491
1410000,3.158786774,3.08312726,3.161756516
1420000,3.158135891,3.090375423,3.158035994
1430000,3.144518852,3.097481966,3.166939974
1440000,3.147611141,3.091644526,3.163991451
1450000,3.126315594,3.095528841,3.175296783
1460000,3.121727467,3.105222702,3.173553705
1470000,3.127799034,3.099154711,3.179142237
1480000,3.126432657,3.115147829,3.182114601
1490000,3.110543251,3.127532959,3.18065834
1500000,3.086855173,3.145394087,3.18065238
1510000,3.117368937,3.157897949,3.165267229
1520000,3.137235165,3.164548874,3.168577671
1530000,3.133388758,3.176601171,3.165460587
1540000,3.092525244,3.185720444,3.15581274
1550000,3.114454985,3.175970078,3.148710012
1560000,3.139378071,3.192140102,3.129910469
1570000,3.099868059,3.183097363,3.138653994
1580000,3.114889622,3.158047438,3.171347857
1590000,3.114638805,3.151025534,3.174489498
1600000,3.102307558,3.162292242,3.161441326
1610000,3.108246803,3.155735254,3.1708076
1620000,3.094378233,3.161669254,3.174862146
1630000,3.090353012,3.154019117,3.173333406
1640000,3.098468065,3.147553921,3.165082693
1650000,3.077518225,3.139314413,3.150618076
1660000,3.079763174,3.142401695,3.158965826
1670000,3.064933062,3.142348051,3.173916101
1680000,3.070470572,3.128965139,3.173695803
1690000,3.059984684,3.14964509,3.187973976
1700000,3.038587809,3.124038696,3.184726477
1710000,3.06755352,3.131391764,3.151079416
1720000,3.06232214,3.152980804,3.154331923
1730000,3.063452482,3.12181139,3.161044359
1740000,3.07392025,3.12284112,3.166260958
1750000,3.105536699,3.141921997,3.166324139
1760000,3.103414536,3.138726234,3.16717267
1770000,3.069842577,3.141851664,3.165625334
1780000,3.067662001,3.136707067,3.172401905
1790000,3.11207819,3.12608552,3.157190561
1800000,3.10479641,3.131367922,3.159241199
1810000,3.109651804,3.140738249,3.157809019
1820000,3.101141453,3.135659695,3.176812172
1830000,3.087907553,3.12437582,3.170179605
1840000,3.094789982,3.137417793,3.151838303
1850000,3.090377331,3.117673159,3.165668964
1860000,3.100743055,3.121181965,3.171566725
1870000,3.10854125,3.107458115,3.188495874
1880000,3.103503466,3.104353428,3.190226793
1890000,3.121495247,3.099812746,3.187741041
1900000,3.124299765,3.103165865,3.183867931
1910000,3.126626968,3.077838659,3.193003893
1920000,3.112915754,3.082910776,3.191995382
1930000,3.089795113,3.083325386,3.186003685
1940000,3.122009277,3.0795784,3.203857183
1950000,3.115510464,3.119188547,3.20041275
1960000,3.123495579,3.102355003,3.193546057
1970000,3.122634649,3.101494551,3.184745073
1980000,3.119311571,3.10315299,3.166739464
1990000,3.108866692,3.089775562,3.196910381
2000000,3.114947557,3.10385251,3.19490695
2010000,3.129550457,3.100315571,3.200093269
2020000,3.134588957,3.095839739,3.190272093
2030000,3.139787674,3.105062723,3.192570686
2040000,3.15495944,3.092147589,3.184830189
2050000,3.153232813,3.101526499,3.189213514
2060000,3.161224604,3.107670784,3.185295105
2070000,3.15118432,3.112896681,3.180396318
2080000,3.155271292,3.112134218,3.172812223
2090000,3.149762869,3.109347343,3.17203927
2100000,3.143746614,3.08609581,3.169748545
2110000,3.130090475,3.077465773,3.178490162
2120000,3.142029762,3.079633713,3.161195517
2130000,3.127913713,3.076951504,3.157108784
2140000,3.124772787,3.065862656,3.14461112
2150000,3.127399683,3.075116158,3.139828682
2160000,3.124605894,3.076207161,3.14063549
2170000,3.118279457,3.060671806,3.148896217
2180000,3.104501009,3.050701857,3.165228367
2190000,3.111157656,3.066031456,3.166984558
2200000,3.132251263,3.085214615,3.151989937
2210000,3.132057905,3.092312813,3.121086836
2220000,3.135321617,3.066389084,3.119805098
2230000,3.148950577,3.059161425,3.131057501
2240000,3.160284996,3.06427002,3.150038242
2250000,3.154014587,3.037441969,3.154415607
2260000,3.16454792,3.056241751,3.154027224
2270000,3.138010025,3.069154739,3.146561384
2280000,3.150906563,3.06471324,3.141299486
2290000,3.151301861,3.074079514,3.120918274
2300000,3.147281647,3.097529173,3.135792017
2310000,3.151707411,3.064905405,3.146656752
2320000,3.160942554,3.05138731,3.135018587
2330000,3.178534269,3.056982517,3.138660192
2340000,3.178254128,3.079998016,3.129296541
2350000,3.172134161,3.068950653,3.124386311
2360000,3.177832603,3.080491781,3.12242794
2370000,3.175887823,3.092887163,3.122969151
2380000,3.169496775,3.097576857,3.115471601
2390000,3.155383587,3.109479427,3.104548216
2400000,3.164686441,3.101314068,3.105048418
2410000,3.166476965,3.11450243,3.078461647
2420000,3.144675255,3.114659071,3.079739571
2430000,3.151976109,3.103588343,3.099577665
2440000,3.145338058,3.08750701,3.119688988
2450000,3.128191233,3.117831707,3.092975855
2460000,3.120263338,3.102027416,3.112370968
2470000,3.142563343,3.111053944,3.093786955
2480000,3.144047022,3.133280039,3.102823019
2490000,3.142016888,3.132989883,3.087619781
2500000,3.141377687,3.116579533,3.098479033
2510000,3.142704487,3.11994648,3.078465462
2520000,3.140727043,3.116134882,3.085248232
2530000,3.137027025,3.129893303,3.081854343
2540000,3.150148153,3.130698204,3.100618601
2550000,3.155597687,3.11692524,3.102848768
2560000,3.150610924,3.146804094,3.102955103
2570000,3.123227119,3.137320042,3.116078854
2580000,3.149419069,3.136609077,3.10304451
2590000,3.157765388,3.128860474,3.112700224
2600000,3.169168949,3.133383512,3.099625111
2610000,3.14796567,3.134336472,3.096792936
