Step,HEARING,AWARENESS,CONTROL
10000,0.058333334,0.095238104,0.086111099
20000,0.074904002,0.004000001,0.110505275
30000,0.080600001,0.063461542,0.03335999
40000,0.011539127,0.184739128,0.071760006
50000,0.065624997,0.004809521,0.062190473
60000,0.108917654,0.065705881,0.104999997
70000,0.129033342,0.0955,0.146626681
80000,0.045161545,0.050933331,0.047647621
90000,0.068260022,0.086111113,0.024999991
100000,-0.031021051,0.037035305,0.092073686
110000,0.050000001,0.021229269,0.036227584
120000,0.087117665,0.093460873,0.022727268
130000,0.067688875,0.05247001,0.0625
140000,0.080010004,0.122255564,0.075000003
150000,0.05496667,0.046887491,0.178988233
160000,0.048894122,0.055100001,0.038559996
170000,0.091666691,0.05780001,0.04069566
180000,0.170564711,0.037500009,0.105260879
190000,0.018016001,0.132046163,0.019965516
200000,0.113147371,0.065560006,0.254490912
210000,0.057700004,0.075985186,0.033138461
220000,0.080409095,0.087399997,0.013761911
230000,0.076260872,0.087530002,0.103571422
240000,0.068749994,0.037950017,0.189946696
250000,0.044642858,0.06286668,0.021809084
260000,0.050000004,0.075000003,0.079174995
270000,0.081818186,0.126453325,0.02724614
280000,0.067857116,0.034707692,0.102380954
290000,0.071875006,0.055929407,0.036842111
300000,0.054166667,0.039285716,0.06428571
310000,0.00714286,0.054832261,0.05677272
320000,0.142084226,0.007905257,0.066300005
330000,0.023930438,0.082600012,0.023833344
340000,0.098200008,-0.004752386,0.06043078
350000,0.093807153,0.055555556,0.139541179
360000,0.034107693,0.102810532,-0.013246165
370000,0.021989193,0.060347371,0.1175
380000,0.134375006,0.050000008,0.05833333
390000,0.055000003,0.130553842,0.132800013
400000,0.161507696,0.0002154,0.051913325
410000,-0.002845714,0.102008,-0.006875869
420000,0.075258836,0.086460009,0.089285716
430000,0.046219051,0.021373348,0.072500005
440000,0.082500018,0.102777772,0.127272725
450000,0.107852645,0.124863155,0.080555551
460000,0.051016666,-0.009073697,0.120000012
470000,0.078023531,0.070638098,0.020344829
480000,0.159973338,0.050976466,0.052777778
490000,0.002191301,0.068161905,0.145200014
500000,0.153333336,0.10101112,0.027473671
510000,0.050947059,0.060192864,0.053124998
520000,0.018822215,0.024411766,0.089583345
530000,0.090692312,0.085452192,0.108333327
540000,0.073076926,0.025505261,0.052941181
550000,0.108333334,0.128260881,0.133306682
560000,0.122727275,0.002380951,0.057723079
570000,0.102599993,0.042857133,0.047727264
580000,0.012024006,0.098547831,0.106250003
590000,0.067500003,0.081630006,0.025000015
600000,0.037499998,0.072736368,0.169973359
610000,0.028333332,0.059483342,-0.010593939
620000,0.074170373,0.051352948,0.036363635
630000,0.061022233,0.125129431,0.056250006
640000,0.111390002,0.073263645,0.05714285
650000,0.024746664,0.056529418,0.132885724
660000,0.064999998,0.05681818,0.017800001
670000,0.120070584,0.047619049,0.055000003
680000,0.052636366,0.07500001,0.045833331
690000,0.057200003,0.089893334,0.135247067
700000,0.056781814,0.064799994,0.008730437
710000,0.0515,0.04876522,0.055769242
720000,0.048323814,0.116376482,0.053571433
730000,0.083619058,0.090000011,0.085714288
740000,0.014352936,0.072685719,0.03409091
750000,0.07249999,0.014069564,-0.009090914
760000,0.096852176,0.128670603,0.059999991
770000,0.050420001,0.0173,0.053124998
780000,0.071895234,0.101083331,0.110000014
790000,0.045312501,-0.009600004,0.081200004
800000,0.148608699,0.046875007,-0.032305889
810000,0.053280007,0.089586221,0.072973914
820000,0.19083637,0.038959999,0.135116667
830000,0.005305268,0.098640002,0.091633327
840000,0.145482361,0.08612857,0.02672001
850000,0.063608341,0.049723819,0.042857155
860000,0.01191428,0.039285708,0.099959984
870000,0.062500007,0.108678259,-0.005847063
880000,0.087500006,0.010026672,0.107413344
890000,0.090120003,0.055000007,0.029947829
900000,0.074812502,0.05227273,0.035714265
910000,0.018085711,0.108593106,0.064462073
920000,0.08540953,0.036060002,0.046490002
930000,0.074999996,0.056171436,0.040053327
940000,0.118926331,0.09690588,0.029545447
950000,0.045683336,0.022318518,0.020000011
960000,0.033894736,0.083980955,0.025000002
970000,0.153571427,0.012459263,0.120847628
980000,0.06818182,0.089583337,0.116349995
990000,0.056818176,0.104166679,0.082157142
1000000,0.121857151,0.141152933,0.042876195
1010000,0.015425003,0.004016,0.040909089
1020000,0.117022224,0.057142854,0.082419053
1030000,0.020703997,0.129986674,0.010649997
1040000,0.036363639,-0.004527271,0.068745464
1050000,0.078124985,0.11290589,0.117857143
1060000,0.077777773,0.073571436,0.062500007
1070000,0.164670601,0.071471445,0.17938824
1080000,0.075025015,0.079149999,-0.007873693
1090000,0.069238469,0.053112492,0.123505883
1100000,0.053199999,0.058350001,0.080020003
1110000,0.031192848,-0.011825,0.029064285
1120000,0.076642103,0.061475009,0.146799996
1130000,0.082142852,0.056693334,0.071552947
1140000,0.082063176,0.072222225,0.148583323
1150000,0.10376364,0.153320014,0.034503449
1160000,0.10537,0.023819046,0.035000008
1170000,0.008023996,0.138211772,0.125000015
1180000,0.023747826,0.069455564,0.071874991
1190000,0.014955561,0.001666667,0.074999996
1200000,0.046875007,0.140990004,0.049999997
1210000,0.021428574,0.042849991,0.066666678
1220000,0.054999989,0.014876923,0.090625003
1230000,0.099960007,0.133293346,0.075000003
1240000,0.067700006,0.060742859,0.126653343
1250000,0.076789998,0.04688751,0.010536836
1260000,0.054255556,-0.016271425,0.099978954
1270000,0.024422225,0.03692941,0.014729416
1280000,0.039530437,0.113319993,0.091666669
1290000,0.16285333,0.030959997,0.066666663
1300000,0.024460608,0.079010002,0.087729417
1310000,0.057731032,0.028812116,0.110750012
1320000,0.001517641,0.058333334,-0.021400001
1330000,0.057142857,0.116628572,0.024999999
1340000,0.065200001,0.015446163,0.080917656
1350000,0.060671426,0.041666664,0.019705273
1360000,0.093837507,0.059944004,0.135630757
1370000,0.099975005,0.025160002,0.069120005
1380000,0.018452626,0.128385723,0.141618207
1390000,0.128533348,0.020635288,0.068262495
1400000,0.015252173,0.06666667,0.038235292
1410000,0.0390625,0.0390625,0.113126323
1420000,0.101923086,0.119028591,0.047094122
1430000,0.108264014,1.74E-05,0.102877416
1440000,0.092342868,0.11666669,0.087812506
1450000,0.050035294,-0.006666669,0.0625
1460000,0.115909092,0.063888893,-0.049957898
1470000,0.079999998,0.093181819,0.040000003
1480000,0.137717649,0.031818181,0.079782605
1490000,0.020188877,0.092200004,0.000714285
1500000,0.055611767,0.044100009,0.147035286
1510000,0.077083334,0.031610522,0.053876925
1520000,0.148835301,0.115789481,0.090625025
1530000,0.056305271,0.01923077,0.178915784
1540000,0.082499996,0.1236737,0.046679996
1550000,0.100000001,0.00527369,-0.0036087
1560000,0.099436365,0.069230765,0.124213338
1570000,0.100845464,0.128663167,0.055862509
1580000,-0.015789479,0.016309099,-0.035705894
1590000,0.097023539,0.023329409,0.067857154
1600000,0.040072728,0.108811773,0.042063162
1610000,0.036939394,0.017181823,0.014323799
1620000,0.047171436,0.027927261,0.043749999
1630000,0.011959992,0.086125009,0.065417394
1640000,0.074999996,0.068609528,0.055569235
1650000,0.105789475,0.075000003,0.003892312
1660000,0.076818191,0.059374999,0.0625
1670000,0.011399993,0.158613324,0.132893339
1680000,0.033565231,0.088358335,0.077830002
1690000,0.137500018,0.027785184,0.007390006
1700000,0.116000012,0.082142845,0.036282752
1710000,0.052084614,0.072222233,0.081250012
1720000,0.05335455,0.042857144,0.116640002
1730000,0.054930005,0.148809522,-0.015353844
1740000,0.021126315,0.00147059,0.047222227
1750000,0.167635307,0.176435307,0.159374997
1760000,0.038037498,0.011800023,0.137500003
1770000,0.104140006,0.143293336,0.032500006
1780000,0.058835298,0.003861539,0.133333325
1790000,0.14465265,0.050010528,0.156345457
1800000,-0.026231579,0.113157906,0.007658811
1810000,0.033333331,-0.026666669,0.120536849
1820000,0.071153849,0.060000002,-0.017608
1830000,0.147058815,0.09375,0.089511119
1840000,0.067800008,0.144094124,0.06809143
1850000,0.082540005,0.034799997,0.084090903
1860000,0.062449999,0.079166681,0.035714295
1870000,0.030744446,0.110760003,0.119009532
1880000,0.073376469,0.040025,0.002673685
1890000,0.103846155,0.018019997,0.254527301
1900000,0.091666669,0.150966674,0.022788882
1910000,0.063318521,0.03001333,0.109093331
1920000,0.079423532,0.056477424,0.035530429
1930000,0.02896552,0.061011124,0.092500009
1940000,0.091666676,0.023400007,0.071263999
